@relation noProbing_nonan_noid

@attribute AutoCorrelation numeric
@attribute CardinalityAtFour numeric
@attribute CardinalityAtThree numeric
@attribute CardinalityAtTwo numeric
@attribute Dimensionality numeric
@attribute MajorityClassPercentage numeric
@attribute MajorityClassSize numeric
@attribute MaxCardinalityOfNominalAttributes numeric
@attribute MaxCardinalityOfNumericAttributes numeric
@attribute MaxKurtosisOfNumericAtts numeric
@attribute MaxMeansOfNumericAtts numeric
@attribute MaxNominalAttDistinctValues numeric
@attribute MaxSkewnessOfNumericAtts numeric
@attribute MaxStdDevOfNumericAtts numeric
@attribute MeanCardinalityOfNominalAttributes numeric
@attribute MeanCardinalityOfNumericAttributes numeric
@attribute MeanKurtosisOfNumericAtts numeric
@attribute MeanMeansOfNumericAtts numeric
@attribute MeanNominalAttDistinctValues numeric
@attribute MeanSkewnessOfNumericAtts numeric
@attribute MeanStdDevOfNumericAtts numeric
@attribute MinCardinalityOfNominalAttributes numeric
@attribute MinCardinalityOfNumericAttributes numeric
@attribute MinKurtosisOfNumericAtts numeric
@attribute MinMeansOfNumericAtts numeric
@attribute MinNominalAttDistinctValues numeric
@attribute MinSkewnessOfNumericAtts numeric
@attribute MinStdDevOfNumericAtts numeric
@attribute MinorityClassPercentage numeric
@attribute MinorityClassSize numeric
@attribute NumberOfBinaryFeatures numeric
@attribute NumberOfClasses numeric
@attribute NumberOfFeatures numeric
@attribute NumberOfInstances numeric
@attribute NumberOfInstancesWithMissingValues numeric
@attribute NumberOfMissingValues numeric
@attribute NumberOfNumericFeatures numeric
@attribute NumberOfSymbolicFeatures numeric
@attribute PercentageOfBinaryFeatures numeric
@attribute PercentageOfInstancesWithMissingValues numeric
@attribute PercentageOfMissingValues numeric
@attribute PercentageOfNumericFeatures numeric
@attribute PercentageOfSymbolicFeatures numeric
@attribute Quartile1KurtosisOfNumericAtts numeric
@attribute Quartile1MeansOfNumericAtts numeric
@attribute Quartile1SkewnessOfNumericAtts numeric
@attribute Quartile1StdDevOfNumericAtts numeric
@attribute Quartile2KurtosisOfNumericAtts numeric
@attribute Quartile2MeansOfNumericAtts numeric
@attribute Quartile2SkewnessOfNumericAtts numeric
@attribute Quartile2StdDevOfNumericAtts numeric
@attribute Quartile3KurtosisOfNumericAtts numeric
@attribute Quartile3MeansOfNumericAtts numeric
@attribute Quartile3SkewnessOfNumericAtts numeric
@attribute Quartile3StdDevOfNumericAtts numeric
@attribute StdevCardinalityOfNominalAttributes numeric
@attribute StdevCardinalityOfNumericAttributes numeric
@attribute StdvNominalAttDistinctValues numeric
@attribute weka.classifiers.bayes.BayesNet numeric
@attribute weka.classifiers.bayes.NaiveBayes numeric
@attribute weka.classifiers.bayes.NaiveBayesMultinomial numeric
@attribute weka.classifiers.functions.Logistic numeric
@attribute weka.classifiers.functions.MultilayerPerceptron numeric
@attribute weka.classifiers.functions.SGD numeric
@attribute weka.classifiers.functions.SMO numeric
@attribute weka.classifiers.functions.SimpleLogistic numeric
@attribute weka.classifiers.functions.VotedPerceptron numeric
@attribute weka.classifiers.lazy.IBk numeric
@attribute weka.classifiers.lazy.KStar numeric
@attribute weka.classifiers.rules.DecisionTable numeric
@attribute weka.classifiers.rules.JRip numeric
@attribute weka.classifiers.rules.OneR numeric
@attribute weka.classifiers.rules.PART numeric
@attribute weka.classifiers.rules.ZeroR numeric
@attribute weka.classifiers.trees.DecisionStump numeric
@attribute weka.classifiers.trees.J48 numeric
@attribute weka.classifiers.trees.LMT numeric
@attribute weka.classifiers.trees.REPTree numeric
@attribute weka.classifiers.trees.RandomForest numeric
@attribute weka.classifiers.trees.RandomTree numeric

@data
0.606466,816000,81600,3400,0.04343,0.761693,684,7,68,13.215477,1263.094655,7,3.761602,1871.399107,1.636364,27.833333,4.648024,348.504268,1.636364,2.026983,405.17327,0,7,-0.972384,1.198549,0,0.07299,0.871208,0.008909,8,4,5,39,898,898,22175,6,33,0.102564,1,0.633173,0.153846,0.846154,-0.40305,3.025695,0.967385,10.505436,1.637244,21.22216,1.654731,69.853385,12.741748,901.263669,3.754644,771.859043,1.557606,25.553212,1.557606,93.307985,75.665399,0,87.680608,99.087452,0,86.539924,88.136882,0,95.361217,0.380228,96.121673,95.437262,84.790875,94.980989,77.56654,77.338403,92.243346,95.741445,92.471483,94.828897,93.612167
0.999061,24,12,6,0.011577,0.522215,1669,3,0,0,0,3,0,0,2.027027,0,0,0,2.027027,0,0,2,0,0,0,2,0,0,0.477785,1527,35,2,37,3196,0,0,0,37,0.945946,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.164399,0,0.164399,87.970711,87.887029,0,97.405858,99.288703,96.67364,95.230126,96.589958,93.200837,95.125523,96.192469,97.008368,99.16318,67.698745,98.933054,52.196653,65.983264,99.267782,99.644351,98.472803,99.058577,95.627615
0.75,22950,2550,255,0.298246,0.649123,37,3,17,13.193069,38.039216,3,3.318064,5.027701,2.555556,9.375,2.046258,9.412291,2.555556,0.255076,2.23551,2,3,-2.035406,2.160714,2,-2.007217,0.707795,0.350877,20,4,2,17,57,56,326,8,9,0.235294,0.982456,0.336429,0.470588,0.529412,-1.413442,3.831012,-0.563056,1.18797,-0.263439,4.421353,0.15855,1.337455,5.180464,10.181866,0.80866,4.034546,0.527046,4.627171,0.527046,90.666667,92,0,88,89.333333,90.666667,90.666667,92,78.666667,88,93.333333,81.333333,86.666667,70.666667,81.333333,66.666667,80,86.666667,92,85.333333,86.666667,81.333333
0.354767,17936755200,51247872,144768,0.619469,0.542035,245,13,384,452,367.207965,13,21.260292,127.220248,2.027027,72.849515,50.388651,14.348605,2.027027,1.327008,9.970201,1,1,-1.635151,-23.499115,1,-21.260292,0,0.004425,2,73,13,280,452,384,408,206,74,0.260714,0.849558,0.003224,0.735714,0.264286,2.165154,0,-0.66931,0.96927,7.218928,0.931969,0.354884,3.48159,31.709014,19.962389,2.579932,16.450762,1.334197,96.738378,1.334197,72.622951,65.737705,0,57.704918,67.704918,0,71.47541,74.098361,0,54.42623,60.491803,67.540984,70.327869,62.295082,66.065574,59.016393,60,68.360656,74.098361,69.016393,69.344262,56.393443
0.040902,106496,6656,416,0.00085,0.04065,813,26,16,2.075245,8.33885,26,1.159975,3.304555,26,16,0.697738,5.925466,26,0.290297,2.273771,26,16,-0.421179,3.0461,26,-0.310079,1.546722,0.0367,734,0,26,17,20000,0,0,16,1,0,0,0,0.941176,0.058824,0.309132,4.174812,-0.13733,2.017439,0.885304,5.913225,0.254335,2.293372,1.172839,7.726012,0.653378,2.547423,0,0,0,74.186944,63.893271,55.230743,77.345192,82.295687,0,81.718409,77.325055,0,95.254237,95.200537,63.409968,84.436986,17.123678,87.430777,4.061084,7.061588,86.930693,90.941433,82.480282,95.610002,84.564524
0.632353,140741550,2385450,31806,0.126829,0.326829,67,22,186,5.305682,13207.129353,22,2.610862,7947.066342,6,61.333333,1.359319,1447.091008,6,0.799581,606.987934,2,23,-0.828945,3.255423,2,-0.683122,0.273539,0.014634,3,4,6,26,205,46,59,15,11,0.153846,0.22439,0.011069,0.576923,0.423077,-0.042854,25.219512,0.073237,2.443522,0.578648,98.756585,0.681398,6.886443,2.62328,174.049268,1.391029,41.642693,5.796551,49.449349,5.796551,64.727273,57.090909,0,71.636364,76.363636,0,68.363636,75.636364,0,73.454545,72,63.272727,73.090909,59.272727,69.818182,34.545455,45.818182,76.727273,77.454545,60.363636,79.272727,69.454545
0.503401,1024,256,64,0.128378,0.547297,81,8,8,29.749465,2.601351,8,5.442362,1.905023,3,5,9.883463,2.045045,3,2.326489,1.018402,2,3,-0.504096,1.060811,2,0.333795,0.313557,0.013514,2,9,4,19,148,0,0,3,16,0.473684,0,0,0.157895,0.842105,-0.504096,1.060811,0.333795,0.313557,0.405021,2.472973,1.203312,0.836627,29.749465,2.601351,5.442362,1.905023,1.591645,2.645751,1.591645,84.761905,81.428571,0,79.047619,83.333333,0,85.238095,83.333333,0,84.285714,86.666667,73.333333,77.142857,74.285714,79.047619,54.761905,70.952381,73.809524,83.333333,73.333333,82.380952,66.190476
0.697115,625,125,25,0.008,0.4608,288,3,5,-1.300798,3,3,0,1.415346,3,5,-1.300798,3,3,0,1.415346,3,5,-1.300798,3,3,0,1.415346,0.0784,49,0,3,5,625,0,0,4,1,0,0,0,0.8,0.2,-1.300798,3,0,1.415346,-1.300798,3,0,1.415346,-1.300798,3,0,1.415346,0,0,0,75.191257,90.054645,87.540984,90.273224,91.256831,0,88.852459,88.087432,0,83.715847,88.961749,75.081967,79.562842,60.546448,82.73224,46.448087,59.344262,76.721311,89.617486,77.26776,80.765027,77.486339
0.995498,104917340000,191455000,348100,0.1085,0.1,200,10,590,1.701286,1141.5705,10,0.863071,153.511581,10,214.722222,-0.315188,318.270389,10,0.027561,49.581313,10,15,-1.389321,6.7675,10,-1.073824,1.985485,0.1,200,0,10,217,2000,0,0,216,1,0,0,0,0.995392,0.004608,-0.697047,14.118125,-0.219026,5.542689,-0.402691,146.47975,-0.014119,30.290066,0.011386,684.50275,0.366513,91.596871,0,191.563182,0,92.338983,91.79661,84.745763,97.423729,97.322034,0,97.559322,96.983051,0,95.186441,15.898305,67.016949,85.491525,38.40678,88.610169,10,19.864407,87.830508,96.983051,84.338983,96.033898,84.101695
0.995498,15808862273296,7928215784,3976036,0.0385,0.1,200,10,1994,1.994923,0.377311,10,1.029986,0.176231,10,1993.592105,0.119006,0.132032,10,0.544701,0.067108,10,1976,-1.125279,0.071692,10,-0.120625,0.037555,0.1,200,0,10,77,2000,0,0,76,1,0,0,0,0.987013,0.012987,-0.178901,0.086326,0.408991,0.042704,0.063023,0.1065,0.554228,0.052759,0.438104,0.155768,0.710785,0.086335,0,2.086002,0,77.423729,77.050847,74.813559,70.644068,82.949153,0,84.644068,82.542373,0,80.271186,75.525424,64.169492,71.898305,39.186441,74.881356,10,19.59322,74.40678,82.40678,73.898305,84.135593,63.423729
